supplier,quarter,star_rating,call_wait_s,email_resp_pct,complaints_per_10k,q,year,t
Avro Energy,Q4 2017,1.4,,,,4,2017,8071
Bristol Energy,Q4 2017,3.8,,,,4,2017,8071
British Gas,Q4 2017,4.05,120.64,,,4,2017,8071
Bulb Energy,Q4 2017,4.4,,,,4,2017,8071
Co-op Energy,Q4 2017,2.85,51.0,,,4,2017,8071
E (Gas and Electricity),Q4 2017,4.0,74.59,,,4,2017,8071
E.ON Next,Q4 2017,3.3,203.0,,,4,2017,8071
EDF Energy,Q4 2017,3.7,228.0,,,4,2017,8071
Economy Energy,Q4 2017,1.2,,,,4,2017,8071
Ecotricity,Q4 2017,2.55,255.0,,,4,2017,8071
Extra Energy,Q4 2017,1.9,,,,4,2017,8071
Flow Energy,Q4 2017,3.2,,,,4,2017,8071
Good Energy,Q4 2017,2.25,89.0,,,4,2017,8071
Green Star Energy,Q4 2017,2.2,,,,4,2017,8071
Iresa,Q4 2017,1.3,,,,4,2017,8071
Octopus Energy,Q4 2017,4.15,70.0,,,4,2017,8071
Ovo Energy,Q4 2017,3.7,137.0,,,4,2017,8071
PFP Energy,Q4 2017,2.85,,,,4,2017,8071
Robin Hood Energy,Q4 2017,2.05,,,,4,2017,8071
SSE,Q4 2017,3.95,,,,4,2017,8071
Scottish Power,Q4 2017,3.45,124.0,,,4,2017,8071
Shell Energy,Q4 2017,3.3,,,,4,2017,8071
So Energy,Q4 2017,4.7,24.0,,,4,2017,8071
Spark Energy,Q4 2017,1.9,,,,4,2017,8071
Utilita,Q4 2017,2.2,112.0,,,4,2017,8071
Utility Warehouse,Q4 2017,3.75,256.0,,,4,2017,8071
iSupply,Q4 2017,2.25,,,,4,2017,8071
npower,Q4 2017,3.6,,,,4,2017,8071
Avro Energy,Q1 2018,1.7,,,,1,2018,8072
Bristol Energy,Q1 2018,4.05,,,,1,2018,8072
British Gas,Q1 2018,4.1,68.0,,,1,2018,8072
Bulb Energy,Q1 2018,3.85,,,,1,2018,8072
Co-op Energy,Q1 2018,3.2,87.0,,,1,2018,8072
E (Gas and Electricity),Q1 2018,4.3,68.0,,,1,2018,8072
E.ON Next,Q1 2018,2.95,196.0,,,1,2018,8072
EDF Energy,Q1 2018,3.85,251.0,,,1,2018,8072
Economy Energy,Q1 2018,2.3,,,,1,2018,8072
Ecotricity,Q1 2018,2.95,224.0,,,1,2018,8072
Engie,Q1 2018,4.3,,,,1,2018,8072
Extra Energy,Q1 2018,2.1,,,,1,2018,8072
Flow Energy,Q1 2018,3.1,,,,1,2018,8072
Good Energy,Q1 2018,2.55,60.0,,,1,2018,8072
Green Network Energy,Q1 2018,4.05,,,,1,2018,8072
Green Star Energy,Q1 2018,2.2,,,,1,2018,8072
Iresa,Q1 2018,0.35,,,,1,2018,8072
Octopus Energy,Q1 2018,3.8,70.0,,,1,2018,8072
Ovo Energy,Q1 2018,3.55,95.0,,,1,2018,8072
PFP Energy,Q1 2018,2.85,,,,1,2018,8072
Robin Hood Energy,Q1 2018,1.7,,,,1,2018,8072
SSE,Q1 2018,4.25,,,,1,2018,8072
Scottish Power,Q1 2018,3.3,114.0,,,1,2018,8072
Shell Energy,Q1 2018,3.4,,,,1,2018,8072
So Energy,Q1 2018,4.8,27.0,,,1,2018,8072
Spark Energy,Q1 2018,2.0,,,,1,2018,8072
TOTO Energy,Q1 2018,1.6,,,,1,2018,8072
Tonik Energy,Q1 2018,3.85,,,,1,2018,8072
Utilita,Q1 2018,2.2,175.0,,,1,2018,8072
Utility Warehouse,Q1 2018,3.45,209.0,,,1,2018,8072
iSupply,Q1 2018,2.4,,,,1,2018,8072
npower,Q1 2018,3.4,,,,1,2018,8072
Avro Energy,Q2 2018,2.55,,,,2,2018,8073
Bristol Energy,Q2 2018,3.85,,,,2,2018,8073
British Gas,Q2 2018,4.25,65.0,,,2,2018,8073
Bulb Energy,Q2 2018,4.35,,,,2,2018,8073
Co-op Energy,Q2 2018,3.0,65.0,,,2,2018,8073
E (Gas and Electricity),Q2 2018,3.75,99.0,,,2,2018,8073
E.ON Next,Q2 2018,3.15,180.0,,,2,2018,8073
EDF Energy,Q2 2018,4.05,174.0,,,2,2018,8073
Economy Energy,Q2 2018,2.3,,,,2,2018,8073
Ecotricity,Q2 2018,3.4,131.0,,,2,2018,8073
Engie,Q2 2018,3.75,,,,2,2018,8073
Extra Energy,Q2 2018,2.5,,,,2,2018,8073
Flow Energy,Q2 2018,2.55,,,,2,2018,8073
Good Energy,Q2 2018,3.0,155.0,,,2,2018,8073
Green Network Energy,Q2 2018,4.05,,,,2,2018,8073
Green Star Energy,Q2 2018,2.1,,,,2,2018,8073
Octopus Energy,Q2 2018,4.3,52.0,,,2,2018,8073
Ovo Energy,Q2 2018,3.45,64.0,,,2,2018,8073
PFP Energy,Q2 2018,2.4,,,,2,2018,8073
Robin Hood Energy,Q2 2018,2.55,,,,2,2018,8073
SSE,Q2 2018,3.95,,,,2,2018,8073
Scottish Power,Q2 2018,3.65,77.0,,,2,2018,8073
Shell Energy,Q2 2018,3.6,,,,2,2018,8073
So Energy,Q2 2018,4.7,29.0,,,2,2018,8073
Solarplicity,Q2 2018,1.8,,,,2,2018,8073
Spark Energy,Q2 2018,2.1,,,,2,2018,8073
TOTO Energy,Q2 2018,1.45,,,,2,2018,8073
Together Energy,Q2 2018,2.5,,,,2,2018,8073
Tonik Energy,Q2 2018,3.95,,,,2,2018,8073
Utilita,Q2 2018,2.75,82.0,,,2,2018,8073
Utility Warehouse,Q2 2018,3.8,164.0,,,2,2018,8073
iSupply,Q2 2018,2.15,,,,2,2018,8073
npower,Q2 2018,3.4,,,,2,2018,8073
Avro Energy,Q3 2018,2.75,,,,3,2018,8074
Bristol Energy,Q3 2018,4.05,,,,3,2018,8074
British Gas,Q3 2018,4.15,89.0,,,3,2018,8074
Bulb Energy,Q3 2018,4.2,,,,3,2018,8074
Co-op Energy,Q3 2018,3.05,67.0,,,3,2018,8074
E (Gas and Electricity),Q3 2018,4.1,156.0,,,3,2018,8074
E.ON Next,Q3 2018,2.9,310.0,,,3,2018,8074
EDF Energy,Q3 2018,3.95,295.0,,,3,2018,8074
Economy Energy,Q3 2018,2.4,,,,3,2018,8074
Ecotricity,Q3 2018,3.4,120.0,,,3,2018,8074
Engie,Q3 2018,3.5,,,,3,2018,8074
Flow Energy,Q3 2018,2.85,,,,3,2018,8074
Good Energy,Q3 2018,3.1,168.0,,,3,2018,8074
Green Network Energy,Q3 2018,3.55,,,,3,2018,8074
Green Star Energy,Q3 2018,2.3,,,,3,2018,8074
Octopus Energy,Q3 2018,4.3,52.0,,,3,2018,8074
OneSelect,Q3 2018,1.3,,,,3,2018,8074
Outfox Energy,Q3 2018,2.25,95.0,,,3,2018,8074
Ovo Energy,Q3 2018,3.7,162.0,,,3,2018,8074
PFP Energy,Q3 2018,2.75,,,,3,2018,8074
Robin Hood Energy,Q3 2018,2.35,,,,3,2018,8074
SSE,Q3 2018,4.4,,,,3,2018,8074
Scottish Power,Q3 2018,3.65,89.0,,,3,2018,8074
Shell Energy,Q3 2018,3.6,,,,3,2018,8074
So Energy,Q3 2018,4.7,21.0,,,3,2018,8074
Solarplicity,Q3 2018,2.0,,,,3,2018,8074
Spark Energy,Q3 2018,2.1,,,,3,2018,8074
TOTO Energy,Q3 2018,2.2,,,,3,2018,8074
Together Energy,Q3 2018,2.7,,,,3,2018,8074
Tonik Energy,Q3 2018,3.45,,,,3,2018,8074
Utilita,Q3 2018,2.25,404.0,,,3,2018,8074
Utility Warehouse,Q3 2018,3.95,145.0,,,3,2018,8074
iSupply,Q3 2018,2.15,,,,3,2018,8074
npower,Q3 2018,3.15,,,,3,2018,8074
Avro Energy,Q4 2018,2.7,,,,4,2018,8075
Bristol Energy,Q4 2018,4.05,,,,4,2018,8075
British Gas,Q4 2018,3.65,110.69,,8.5,4,2018,8075
Bulb Energy,Q4 2018,3.75,,,,4,2018,8075
Co-op Energy,Q4 2018,3.05,57.53,,22.3,4,2018,8075
E (Gas and Electricity),Q4 2018,3.45,332.0,,7.7,4,2018,8075
E.ON Next,Q4 2018,3.25,242.0,,19.5,4,2018,8075
EDF Energy,Q4 2018,4.15,175.0,,9.1,4,2018,8075
Ecotricity,Q4 2018,3.15,165.0,,18.0,4,2018,8075
Engie,Q4 2018,4.15,,,,4,2018,8075
Eversmart Energy,Q4 2018,1.6,,,,4,2018,8075
Flow Energy,Q4 2018,2.8,,,,4,2018,8075
Good Energy,Q4 2018,3.0,221.0,,16.6,4,2018,8075
Green Network Energy,Q4 2018,3.55,,,,4,2018,8075
Green Star Energy,Q4 2018,2.3,,,,4,2018,8075
Igloo Energy,Q4 2018,4.1,,,,4,2018,8075
Octopus Energy,Q4 2018,3.95,62.3,,5.8,4,2018,8075
Outfox Energy,Q4 2018,1.3,333.0,,133.9,4,2018,8075
Ovo Energy,Q4 2018,3.35,205.0,,10.6,4,2018,8075
PFP Energy,Q4 2018,1.85,,,,4,2018,8075
Pure Planet,Q4 2018,1.95,,,,4,2018,8075
Robin Hood Energy,Q4 2018,2.45,,,,4,2018,8075
SSE,Q4 2018,4.4,,,,4,2018,8075
Scottish Power,Q4 2018,3.45,106.0,,41.1,4,2018,8075
Shell Energy,Q4 2018,3.4,,,,4,2018,8075
So Energy,Q4 2018,4.5,64.0,,2.2,4,2018,8075
Solarplicity,Q4 2018,2.15,,,,4,2018,8075
TOTO Energy,Q4 2018,2.2,,,,4,2018,8075
Together Energy,Q4 2018,2.4,,,,4,2018,8075
Tonik Energy,Q4 2018,3.05,,,,4,2018,8075
Utilita,Q4 2018,2.2,592.0,,17.3,4,2018,8075
Utility Point,Q4 2018,2.95,,,,4,2018,8075
Utility Warehouse,Q4 2018,3.95,133.0,,11.6,4,2018,8075
iSupply,Q4 2018,1.95,,,,4,2018,8075
npower,Q4 2018,3.15,,,,4,2018,8075
Affect Energy,Q1 2019,4.5,,,,1,2019,8076
Avro Energy,Q1 2019,2.35,,,,1,2019,8076
Breeze Energy,Q1 2019,4.45,,,,1,2019,8076
Bristol Energy,Q1 2019,3.5,,,,1,2019,8076
British Gas,Q1 2019,3.9,127.7,,10.3,1,2019,8076
Bulb Energy,Q1 2019,3.85,,,,1,2019,8076
Co-op Energy,Q1 2019,2.55,63.13,,30.4,1,2019,8076
E (Gas and Electricity),Q1 2019,2.9,359.7,,5.6,1,2019,8076
E.ON Next,Q1 2019,3.2,241.0,,26.5,1,2019,8076
EDF Energy,Q1 2019,4.15,137.0,,8.2,1,2019,8076
Ecotricity,Q1 2019,2.2,140.0,,35.6,1,2019,8076
Engie,Q1 2019,4.25,,,,1,2019,8076
Eversmart Energy,Q1 2019,1.8,,,,1,2019,8076
Flow Energy,Q1 2019,3.0,,,,1,2019,8076
Good Energy,Q1 2019,3.0,201.0,,28.2,1,2019,8076
Green Network Energy,Q1 2019,3.85,,,,1,2019,8076
Green Star Energy,Q1 2019,2.3,,,,1,2019,8076
Igloo Energy,Q1 2019,4.3,,,,1,2019,8076
Nabuh Energy,Q1 2019,1.65,,,,1,2019,8076
Octopus Energy,Q1 2019,4.05,78.65,,10.1,1,2019,8076
Outfox Energy,Q1 2019,2.1,162.0,,218.5,1,2019,8076
Ovo Energy,Q1 2019,2.8,1028.0,,24.1,1,2019,8076
PFP Energy,Q1 2019,2.55,,,,1,2019,8076
Pure Planet,Q1 2019,3.25,,,,1,2019,8076
Robin Hood Energy,Q1 2019,2.65,,,,1,2019,8076
SSE,Q1 2019,4.6,,,,1,2019,8076
Scottish Power,Q1 2019,3.45,135.0,,46.9,1,2019,8076
Shell Energy,Q1 2019,3.4,,,,1,2019,8076
So Energy,Q1 2019,4.3,178.7,,2.1,1,2019,8076
Solarplicity,Q1 2019,2.3,,,,1,2019,8076
TOTO Energy,Q1 2019,2.1,,,,1,2019,8076
Together Energy,Q1 2019,2.7,,,,1,2019,8076
Tonik Energy,Q1 2019,2.65,,,,1,2019,8076
Utilita,Q1 2019,1.8,422.0,,26.9,1,2019,8076
Utility Point,Q1 2019,3.0,,,,1,2019,8076
Utility Warehouse,Q1 2019,3.05,284.0,,18.2,1,2019,8076
Yorkshire Energy,Q1 2019,4.15,,,,1,2019,8076
iSupply,Q1 2019,2.15,,,,1,2019,8076
npower,Q1 2019,3.5,,,,1,2019,8076
Affect Energy,Q2 2019,3.5,,,,2,2019,8077
Avro Energy,Q2 2019,3.5,,,,2,2019,8077
Breeze Energy,Q2 2019,4.8,,,,2,2019,8077
Bristol Energy,Q2 2019,3.0,,,,2,2019,8077
British Gas,Q2 2019,3.85,150.37,,10.9,2,2019,8077
Bulb Energy,Q2 2019,3.75,,,,2,2019,8077
Co-op Energy,Q2 2019,3.35,90.0,,28.9,2,2019,8077
E (Gas and Electricity),Q2 2019,4.0,151.2,,3.4,2,2019,8077
E.ON Next,Q2 2019,3.35,154.0,,33.3,2,2019,8077
EDF Energy,Q2 2019,4.15,152.0,,9.1,2,2019,8077
ESB Energy,Q2 2019,3.55,,,,2,2019,8077
Ecotricity,Q2 2019,2.2,229.0,,24.7,2,2019,8077
Engie,Q2 2019,4.25,,,,2,2019,8077
Flow Energy,Q2 2019,2.85,,,,2,2019,8077
Good Energy,Q2 2019,3.05,55.0,,30.2,2,2019,8077
Green Network Energy,Q2 2019,3.95,,,,2,2019,8077
Green Star Energy,Q2 2019,2.15,,,,2,2019,8077
Igloo Energy,Q2 2019,4.4,,,,2,2019,8077
Nabuh Energy,Q2 2019,1.9,,,,2,2019,8077
Octopus Energy,Q2 2019,3.75,117.73,,6.9,2,2019,8077
Outfox Energy,Q2 2019,2.5,128.0,,111.1,2,2019,8077
Ovo Energy,Q2 2019,3.0,279.0,,26.4,2,2019,8077
PFP Energy,Q2 2019,2.65,,,,2,2019,8077
People's Energy Company,Q2 2019,3.4,,,,2,2019,8077
Pure Planet,Q2 2019,3.25,,,,2,2019,8077
Robin Hood Energy,Q2 2019,2.55,,,,2,2019,8077
SSE,Q2 2019,4.6,,,,2,2019,8077
Scottish Power,Q2 2019,3.2,105.0,,60.9,2,2019,8077
Shell Energy,Q2 2019,3.4,,,,2,2019,8077
So Energy,Q2 2019,4.4,39.9,,4.8,2,2019,8077
TOTO Energy,Q2 2019,2.1,,,,2,2019,8077
Together Energy,Q2 2019,2.9,,,,2,2019,8077
Tonik Energy,Q2 2019,2.85,,,,2,2019,8077
Utilita,Q2 2019,1.95,141.0,,30.6,2,2019,8077
Utility Point,Q2 2019,3.35,,,,2,2019,8077
Utility Warehouse,Q2 2019,3.4,176.0,,17.3,2,2019,8077
Yorkshire Energy,Q2 2019,3.6,,,,2,2019,8077
iSupply,Q2 2019,2.85,,,,2,2019,8077
npower,Q2 2019,3.65,,,,2,2019,8077
Affect Energy,Q3 2019,3.65,,,,3,2019,8078
Avro Energy,Q3 2019,3.5,,,,3,2019,8078
Boost Power,Q3 2019,2.75,,,,3,2019,8078
Breeze Energy,Q3 2019,4.8,,,,3,2019,8078
Bristol Energy,Q3 2019,3.3,,,,3,2019,8078
British Gas,Q3 2019,3.95,207.29,,14.8,3,2019,8078
Bulb Energy,Q3 2019,3.2,,,,3,2019,8078
Co-op Energy,Q3 2019,2.95,67.0,,41.1,3,2019,8078
E (Gas and Electricity),Q3 2019,3.81,83.0,,6.1,3,2019,8078
E.ON Next,Q3 2019,3.7,129.0,,28.0,3,2019,8078
EDF Energy,Q3 2019,4.25,153.0,,9.9,3,2019,8078
ESB Energy,Q3 2019,3.95,,,,3,2019,8078
Ecotricity,Q3 2019,2.4,212.0,,21.2,3,2019,8078
Engie,Q3 2019,4.05,,,,3,2019,8078
Good Energy,Q3 2019,3.25,43.0,,16.1,3,2019,8078
Green Network Energy,Q3 2019,3.6,,,,3,2019,8078
Green Star Energy,Q3 2019,2.2,,,,3,2019,8078
Igloo Energy,Q3 2019,4.0,,,,3,2019,8078
Nabuh Energy,Q3 2019,1.7,,,,3,2019,8078
Octopus Energy,Q3 2019,4.15,86.5,,6.9,3,2019,8078
Orbit Energy,Q3 2019,3.75,,,,3,2019,8078
Outfox Energy,Q3 2019,2.35,116.0,,58.8,3,2019,8078
Ovo Energy,Q3 2019,3.0,192.0,,29.6,3,2019,8078
PFP Energy,Q3 2019,3.0,,,,3,2019,8078
People's Energy Company,Q3 2019,3.6,,,,3,2019,8078
Pure Planet,Q3 2019,3.25,,,,3,2019,8078
Robin Hood Energy,Q3 2019,2.9,,,,3,2019,8078
SSE,Q3 2019,4.05,,,,3,2019,8078
Scottish Power,Q3 2019,3.25,88.0,,66.8,3,2019,8078
Shell Energy,Q3 2019,2.85,,,,3,2019,8078
So Energy,Q3 2019,4.4,46.9,,1.8,3,2019,8078
Spark Energy,Q3 2019,2.8,,,,3,2019,8078
Together Energy,Q3 2019,2.9,,,,3,2019,8078
Tonik Energy,Q3 2019,2.75,,,,3,2019,8078
Utilita,Q3 2019,2.1,395.0,,31.6,3,2019,8078
Utility Point,Q3 2019,3.6,,,,3,2019,8078
Utility Warehouse,Q3 2019,3.75,165.0,,14.0,3,2019,8078
Yorkshire Energy,Q3 2019,2.85,,,,3,2019,8078
iSupply,Q3 2019,3.1,,,,3,2019,8078
npower,Q3 2019,3.55,,,,3,2019,8078
Affect Energy,Q4 2019,3.55,,,,4,2019,8079
Avro Energy,Q4 2019,3.5,,,,4,2019,8079
Boost Power,Q4 2019,2.06,,,,4,2019,8079
Bristol Energy,Q4 2019,2.65,,,,4,2019,8079
British Gas,Q4 2019,3.95,210.0,,14.6,4,2019,8079
Bulb Energy,Q4 2019,3.2,,,,4,2019,8079
Co-op Energy,Q4 2019,3.75,117.0,,13.2,4,2019,8079
E (Gas and Electricity),Q4 2019,3.13,270.0,,6.4,4,2019,8079
E.ON Next,Q4 2019,3.35,191.0,,27.0,4,2019,8079
EDF Energy,Q4 2019,4.45,68.0,,11.0,4,2019,8079
ESB Energy,Q4 2019,4.05,,,,4,2019,8079
Ecotricity,Q4 2019,2.55,206.0,,17.7,4,2019,8079
Enstroga,Q4 2019,3.1,,,,4,2019,8079
Good Energy,Q4 2019,3.45,30.0,,21.3,4,2019,8079
Green Network Energy,Q4 2019,3.2,,,,4,2019,8079
Green Star Energy,Q4 2019,2.65,,,,4,2019,8079
Igloo Energy,Q4 2019,4.4,,,,4,2019,8079
M&S Energy,Q4 2019,4.35,,,,4,2019,8079
Nabuh Energy,Q4 2019,1.9,,,,4,2019,8079
Octopus Energy,Q4 2019,3.95,87.0,,13.2,4,2019,8079
Orbit Energy,Q4 2019,2.3,,,,4,2019,8079
Outfox Energy,Q4 2019,2.85,69.0,,41.7,4,2019,8079
Ovo Energy,Q4 2019,2.55,217.0,,36.8,4,2019,8079
PFP Energy,Q4 2019,2.9,,,,4,2019,8079
People's Energy Company,Q4 2019,3.65,,,,4,2019,8079
Pure Planet,Q4 2019,3.0,,,,4,2019,8079
Robin Hood Energy,Q4 2019,2.65,,,,4,2019,8079
SSE,Q4 2019,4.2,,,,4,2019,8079
Scottish Power,Q4 2019,3.2,112.0,,63.8,4,2019,8079
Shell Energy,Q4 2019,3.4,,,,4,2019,8079
So Energy,Q4 2019,4.4,34.0,,1.9,4,2019,8079
